iteration,time_per_iteration,total_elapsed_time,average_regret,max_regret,unique_scenarios_visited,scenario_coverage_0_10,scenario_coverage_11_25,scenario_coverage_26_50,scenario_coverage_51_100,scenario_coverage_100_plus,total_possible_scenarios,scenario_coverage_percentage,hand_category_offsuit_broadway_visits,hand_category_premium_aces_visits,hand_category_suited_gappers_visits,hand_category_medium_pairs_visits,hand_category_suited_connectors_visits,hand_category_medium_aces_visits,hand_category_suited_broadway_visits,hand_category_weak_aces_visits,hand_category_premium_pairs_visits,hand_category_small_pairs_visits,hand_category_trash_visits
810,2.275655746459961,183.82199144363403,0.438016427827729,14.099392712550607,161,153,8,0,0,0,220,73.18,74,74,74,73,73,74,73,74,73,74,74.0
820,2.2675817012786865,186.08957314491272,0.4357825791195844,14.099392712550607,162,154,8,0,0,0,220,73.64,74,75,74,75,75,75,74,74,75,74,75.0
830,2.279020309448242,188.36859345436096,0.44122306959247964,14.099392712550607,162,154,8,0,0,0,220,73.64,75,76,76,75,76,75,76,75,76,75,75.0
840,2.281198263168335,190.6497917175293,0.448592747095174,15.199392712550607,162,154,8,0,0,0,220,73.64,76,76,77,76,76,77,77,76,76,77,76.0
850,2.282047986984253,192.93183970451355,0.44874866744276054,15.199392712550607,162,152,10,0,0,0,220,73.64,77,77,77,77,78,77,77,78,78,77,77.0
860,2.279290199279785,195.21112990379333,0.4498327826277071,15.199392712550607,162,152,10,0,0,0,220,73.64,78,79,78,78,78,79,78,78,78,78,78.0
870,2.271469831466675,197.48259973526,0.45206306578305255,15.199392712550607,162,150,12,0,0,0,220,73.64,79,79,80,79,79,79,79,79,79,79,79.0
880,2.2858529090881348,199.76845264434814,0.4614914001784857,15.199392712550607,162,150,12,0,0,0,220,73.64,80,80,80,80,80,80,80,80,80,80,80.0
890,2.296424627304077,202.06487727165222,0.4654131456561609,15.199392712550607,162,150,12,0,0,0,220,73.64,81,81,81,81,81,80,81,81,81,81,81.0
900,2.276963472366333,204.34184074401855,0.46331222992057214,15.199392712550607,162,150,12,0,0,0,220,73.64,82,82,82,82,82,81,82,82,82,82,81.0
910,2.2935690879821777,206.63540983200073,0.467356710596092,15.199392712550607,162,150,12,0,0,0,220,73.64,83,83,83,82,83,82,83,83,82,83,83.0
920,2.27821946144104,208.91362929344177,0.4653484179633614,15.199392712550607,164,152,12,0,0,0,220,74.55,83,84,84,83,84,83,84,83,84,84,84.0
930,2.287412166595459,211.20104146003723,0.46652266165234524,15.199392712550607,164,152,12,0,0,0,220,74.55,84,84,85,85,84,85,85,84,85,84,85.0
940,2.283587694168091,213.48462915420532,0.4683268198811839,15.199392712550607,164,151,13,0,0,0,220,74.55,85,85,86,85,85,86,85,86,86,85,86.0
950,2.283961057662964,215.7685902118683,0.46795178512888574,15.199392712550607,164,151,13,0,0,0,220,74.55,87,86,86,86,87,86,86,87,86,86,87.0
960,2.307936429977417,218.0765266418457,0.47313100250483514,15.199392712550607,164,151,13,0,0,0,220,74.55,88,87,88,87,87,87,87,88,87,87,87.0
970,2.2885947227478027,220.3651213645935,0.47827642946876603,15.199392712550607,164,149,15,0,0,0,220,74.55,88,89,88,88,88,88,88,88,88,89,88.0
980,2.29807448387146,222.66319584846497,0.48729860600201047,15.199392712550607,164,148,16,0,0,0,220,74.55,89,89,89,89,89,89,89,90,89,89,89.0
990,2.269658088684082,224.93285393714905,0.4860116074797301,15.199392712550607,164,148,16,0,0,0,220,74.55,90,90,90,90,90,90,90,90,90,90,90.0
1000,2.278146982192993,227.21100091934204,0.49523872897357624,15.199392712550607,164,146,18,0,0,0,220,74.55,91,91,91,91,91,91,90,91,91,91,91.0
1010,2.2960188388824463,229.5070197582245,0.4981129191893717,15.199392712550607,164,144,20,0,0,0,220,74.55,92,92,92,92,91,92,92,91,92,92,92.0
1020,2.287616491317749,231.79463624954224,0.5081723191911962,15.199392712550607,164,144,20,0,0,0,220,74.55,93,92,93,93,93,92,93,93,93,92,93.0
1030,2.3058269023895264,234.10046315193176,0.5128894642737931,15.199392712550607,164,142,22,0,0,0,220,74.55,93,94,94,94,93,93,94,94,93,94,94.0
1040,2.2868640422821045,236.38732719421387,0.5216313666883116,15.199392712550607,164,140,24,0,0,0,220,74.55,95,95,95,95,94,94,94,94,94,95,95.0
1050,2.289811849594116,238.67713904380798,0.5365623517691985,15.199392712550607,164,140,24,0,0,0,220,74.55,96,96,95,95,95,96,95,95,96,96,95.0
1060,2.480839729309082,241.15797877311707,0.5403621535275419,15.199392712550607,164,140,24,0,0,0,220,74.55,97,96,96,96,96,96,97,96,97,96,97.0
1070,2.3357157707214355,243.4936945438385,0.5408996291852257,15.854948268106162,164,140,24,0,0,0,220,74.55,97,97,97,97,97,97,98,98,98,97,97.0
1080,2.2848892211914062,245.7785837650299,0.5495012457362967,15.854948268106162,164,140,24,0,0,0,220,74.55,98,98,98,98,99,98,98,98,99,98,98.0
1090,2.284954786300659,248.06353855133057,0.5512984282729058,15.854948268106162,164,140,24,0,0,0,220,74.55,99,99,99,99,99,99,100,99,99,99,99.0
1100,2.299046754837036,250.3625853061676,0.5527393964468634,15.854948268106162,164,139,25,0,0,0,220,74.55,100,100,100,100,100,100,100,100,100,100,100.0
1110,2.3134896755218506,252.67607498168945,0.553878262428385,15.854948268106162,164,139,25,0,0,0,220,74.55,101,101,101,101,101,100,101,101,101,101,101.0
1120,2.248795986175537,254.924870967865,0.5557361327126265,15.854948268106162,164,139,25,0,0,0,220,74.55,102,102,102,102,102,102,101,102,102,101,102.0
1130,2.3119657039642334,257.2368366718292,0.5590275377087198,15.854948268106162,164,139,25,0,0,0,220,74.55,103,103,103,103,103,103,102,102,103,102,103.0
1140,2.243335723876953,259.4801723957062,0.5625374392033198,15.854948268106162,164,138,26,0,0,0,220,74.55,103,103,104,103,104,104,104,104,103,104,104.0
1150,2.1974844932556152,261.6776568889618,0.5675779202065395,15.854948268106162,164,137,27,0,0,0,220,74.55,105,105,104,105,104,105,104,105,104,105,104.0
1160,2.171536922454834,263.8491938114166,0.5695485051791975,15.854948268106162,164,135,29,0,0,0,220,74.55,106,105,106,106,105,105,106,105,106,105,105.0
1170,2.2099809646606445,266.05917477607727,0.5754958759846893,15.854948268106162,164,133,31,0,0,0,220,74.55,106,106,106,107,106,106,107,107,106,107,106.0
1180,2.2317631244659424,268.2909379005432,0.5834218317908842,15.854948268106162,164,132,32,0,0,0,220,74.55,107,108,107,107,107,108,107,108,107,107,107.0
1190,2.2411556243896484,270.53209352493286,0.5884566436259284,17.405050505050504,164,132,32,0,0,0,220,74.55,108,108,108,108,109,108,108,108,108,109,108.0
1200,2.229973316192627,272.7620668411255,0.5966701148455511,17.405050505050504,164,132,32,0,0,0,220,74.55,109,109,109,109,109,110,109,109,109,109,109.0
1210,2.2472925186157227,275.0093593597412,0.5980814741355506,17.405050505050504,164,131,33,0,0,0,220,74.55,110,110,110,110,110,110,110,110,110,110,110.0
1220,2.374960422515869,277.3843197822571,0.6050546211165899,17.405050505050504,164,129,35,0,0,0,220,74.55,111,111,111,111,111,110,111,111,111,111,111.0
1230,2.4059524536132812,279.79027223587036,0.607640292544852,17.405050505050504,164,128,36,0,0,0,220,74.55,112,112,112,112,112,111,112,112,111,112,112.0
1240,2.3185224533081055,282.10879468917847,0.6090615132997645,17.405050505050504,164,127,37,0,0,0,220,74.55,113,113,112,113,113,113,113,112,112,113,113.0
1250,2.2368128299713135,284.3456075191498,0.6141870759198242,17.405050505050504,164,126,38,0,0,0,220,74.55,114,114,114,113,114,114,114,113,114,113,113.0
1260,2.254398822784424,286.6000063419342,0.6173114858043691,17.405050505050504,164,126,38,0,0,0,220,74.55,114,115,115,114,115,114,114,115,115,114,115.0
1270,2.281306505203247,288.88131284713745,0.6166227598609378,17.405050505050504,164,125,39,0,0,0,220,74.55,116,115,116,115,115,116,116,116,115,115,115.0
1280,2.2420527935028076,291.12336564064026,0.6240895350403886,17.405050505050504,164,124,40,0,0,0,220,74.55,116,116,117,117,116,116,117,116,116,116,117.0
1290,2.2547192573547363,293.378084897995,0.625833218561433,17.405050505050504,164,124,40,0,0,0,220,74.55,117,117,118,117,117,117,118,117,117,118,117.0
1300,2.2622439861297607,295.64032888412476,0.6240150395777948,17.405050505050504,164,124,40,0,0,0,220,74.55,118,118,118,118,118,118,119,119,118,118,118.0
1310,2.2351186275482178,297.875447511673,0.6250591410713231,17.405050505050504,164,121,43,0,0,0,220,74.55,119,119,120,119,119,119,119,119,119,119,119.0
1320,2.2653391361236572,300.14078664779663,0.6263030118181289,17.405050505050504,164,118,46,0,0,0,220,74.55,120,120,120,120,120,120,120,120,120,120,120.0
1330,2.3818671703338623,302.5226538181305,0.629882024094802,17.405050505050504,164,118,46,0,0,0,220,74.55,121,121,121,121,121,121,121,121,121,120,121.0
1340,2.3805291652679443,304.90318298339844,0.6346487617256085,17.405050505050504,164,118,46,0,0,0,220,74.55,122,122,122,122,121,122,122,122,122,121,122.0
1350,2.3343751430511475,307.2375581264496,0.6361291395478217,17.405050505050504,164,118,46,0,0,0,220,74.55,123,122,123,123,123,123,123,123,122,123,122.0
1360,2.23298716545105,309.47054529190063,0.6369272432596359,17.405050505050504,164,117,47,0,0,0,220,74.55,124,123,123,123,123,124,124,124,124,124,124.0
