scenario_key,hand_cat,position,stack_cat,blinds_level,villain_stack_cat,preflop_context,visits,pct_fold,pct_call_small,pct_raise_small,pct_raise_mid,pct_raise_high
suited_connectors|BTN|very_deep|medium|very_deep|standard,suited_connectors,BTN,very_deep,medium,very_deep,standard,1,1.0,0.0,0.0,0.0,0.0
weak_aces|BTN|very_deep|medium|very_deep|standard,weak_aces,BTN,very_deep,medium,very_deep,standard,1,0.0,0.0,1.0,0.0,0.0
premium_aces|BTN|very_deep|medium|very_deep|standard,premium_aces,BTN,very_deep,medium,very_deep,standard,2,0.5,0.5,0.0,0.0,0.0
premium_aces|BB|very_deep|medium|very_deep|opp_check,premium_aces,BB,very_deep,medium,very_deep,opp_check,3,0.0,0.3333,0.0,0.6667,0.0
premium_aces|BTN|very_deep|medium|very_deep|opp_raise_mid,premium_aces,BTN,very_deep,medium,very_deep,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|medium|very_deep|opp_raise_low_3bet,offsuit_broadway,BTN,very_deep,medium,very_deep,opp_raise_low_3bet,1,1.0,0.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|very_deep|opp_raise_mid_3bet,trash,BTN,very_deep,medium,very_deep,opp_raise_mid_3bet,1,0.0,0.0,0.0,0.0,1.0
trash|BB|very_deep|medium|very_deep|opp_raise_high_3bet,trash,BB,very_deep,medium,very_deep,opp_raise_high_3bet,1,0.0,0.0,0.0,1.0,0.0
offsuit_broadway|BB|deep|medium|very_deep|opp_raise_low,offsuit_broadway,BB,deep,medium,very_deep,opp_raise_low,2,0.0,0.5,0.0,0.0,0.5
trash|BTN|very_deep|medium|deep|opp_raise_high_3bet,trash,BTN,very_deep,medium,deep,opp_raise_high_3bet,1,0.0,1.0,0.0,0.0,0.0
weak_aces|BTN|very_deep|medium|medium|standard,weak_aces,BTN,very_deep,medium,medium,standard,2,0.5,0.0,0.0,0.5,0.0
premium_pairs|BB|medium|medium|very_deep|opp_raise_high,premium_pairs,BB,medium,medium,very_deep,opp_raise_high,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|very_deep|medium|medium|opp_raise_low_3bet,trash,BTN,very_deep,medium,medium,opp_raise_low_3bet,1,1.0,0.0,0.0,0.0,0.0
offsuit_broadway|BB|very_deep|medium|medium|opp_raise_mid,offsuit_broadway,BB,very_deep,medium,medium,opp_raise_mid,1,1.0,0.0,0.0,0.0,0.0
premium_aces|BTN|deep|medium|very_deep|standard,premium_aces,BTN,deep,medium,very_deep,standard,2,0.0,0.0,0.0,0.5,0.5
trash|BB|very_deep|medium|deep|opp_raise_high,trash,BB,very_deep,medium,deep,opp_raise_high,5,0.2,0.6,0.0,0.2,0.0
medium_aces|BTN|medium|medium|very_deep|standard,medium_aces,BTN,medium,medium,very_deep,standard,2,0.0,0.5,0.0,0.0,0.5
weak_aces|BTN|medium|medium|very_deep|opp_check,weak_aces,BTN,medium,medium,very_deep,opp_check,1,0.0,0.0,0.0,0.0,1.0
premium_aces|BB|deep|medium|very_deep|opp_check,premium_aces,BB,deep,medium,very_deep,opp_check,1,0.0,0.0,1.0,0.0,0.0
trash|BTN|very_deep|medium|deep|opp_raise_low,trash,BTN,very_deep,medium,deep,opp_raise_low,1,0.0,1.0,0.0,0.0,0.0
offsuit_broadway|BTN|very_deep|medium|deep|standard,offsuit_broadway,BTN,very_deep,medium,deep,standard,1,0.0,0.0,1.0,0.0,0.0
trash|BB|deep|medium|very_deep|opp_raise_low,trash,BB,deep,medium,very_deep,opp_raise_low,1,0.0,0.0,1.0,0.0,0.0
offsuit_broadway|BTN|very_deep|medium|deep|opp_raise_low_3bet,offsuit_broadway,BTN,very_deep,medium,deep,opp_raise_low_3bet,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|deep|opp_raise_low_3bet,trash,BTN,very_deep,medium,deep,opp_raise_low_3bet,2,0.0,1.0,0.0,0.0,0.0
premium_aces|BB|very_deep|medium|medium|opp_raise_mid,premium_aces,BB,very_deep,medium,medium,opp_raise_mid,1,0.0,1.0,0.0,0.0,0.0
trash|BTN|very_deep|medium|medium|opp_raise_high_3bet,trash,BTN,very_deep,medium,medium,opp_raise_high_3bet,3,0.3333,0.3333,0.0,0.3333,0.0
trash|BTN|deep|medium|very_deep|standard,trash,BTN,deep,medium,very_deep,standard,6,0.0,0.0,0.3333,0.3333,0.3333
small_pairs|BB|very_deep|medium|deep|opp_raise_low,small_pairs,BB,very_deep,medium,deep,opp_raise_low,1,0.0,0.0,0.0,1.0,0.0
